,Supplier name,Price,Availability,Number of products sold,Revenue generated,Stock levels,Lead times,Order quantities,Shipping times,Shipping costs,Production volumes,Manufacturing lead time,Manufacturing costs,Defect rates,Costs,Distance
0,Supplier 3,5.166957478812676,0.6176470588235294,99.25,-0.09561252582788048,57.0,-0.3,0.09090909090909091,1.0,-0.6329282076027121,-0.7785787847579815,0.07407407407407407,0.5080764488339607,-0.9505718190478362,0.32294040792189654,166.7882958966116
1,Supplier 3,5.166957478812676,0.6176470588235294,99.25,-0.09561252582788048,57.0,-0.3,0.09090909090909091,1.0,-0.6329282076027121,-0.7785787847579815,0.07407407407407407,0.5080764488339607,-0.9505718190478362,0.32294040792189654,166.7882958966116
2,Supplier 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Supplier 5,4.403273345445212,1.0,9.375,-0.18907501980343758,22.0,0.3,-0.32954545454545453,2.0,-0.785266246601338,-0.035015447991761074,-0.3333333333333333,0.16086805710114496,0.03625207811594261,0.7952061258549149,41.74283510879255
4,Supplier 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Supplier 4,-0.8498212388235643,1.5588235294117647,17.375,-0.7046958986757581,89.0,1.7,-0.25,0.5,-0.4482450422963075,-0.8928939237899073,-0.37037037037037035,0.8497927452788074,-0.39326769642810644,0.6591091406837278,115.55201958575832
6,Supplier 3,5.166957478812676,0.6176470588235294,99.25,-0.09561252582788048,57.0,-0.3,0.09090909090909091,1.0,-0.6329282076027121,-0.7785787847579815,0.07407407407407407,0.5080764488339607,-0.9505718190478362,0.32294040792189654,166.7882958966116
7,Supplier 4,-0.8498212388235643,1.5588235294117647,17.375,-0.7046958986757581,89.0,1.7,-0.25,0.5,-0.4482450422963075,-0.8928939237899073,-0.37037037037037035,0.8497927452788074,-0.39326769642810644,0.6591091406837278,115.55201958575832
8,Supplier 4,-0.8498212388235643,1.5588235294117647,17.375,-0.7046958986757581,89.0,1.7,-0.25,0.5,-0.4482450422963075,-0.8928939237899073,-0.37037037037037035,0.8497927452788074,-0.39326769642810644,0.6591091406837278,115.55201958575832
9,Supplier 2,4.655258303945057,0.029411764705882353,121.5,-0.4809693109789701,13.0,1.7,-0.056818181818181816,-0.5,-0.11022859974351788,-0.008238928939237899,-0.14814814814814814,0.5627467217962678,-0.16067312717285614,6.017527368653431,148.93002045590154
10,Supplier 5,4.403273345445212,1.0,9.375,-0.18907501980343758,22.0,0.3,-0.32954545454545453,2.0,-0.785266246601338,-0.035015447991761074,-0.3333333333333333,0.16086805710114496,0.03625207811594261,0.7952061258549149,41.74283510879255
11,Supplier 2,4.655258303945057,0.029411764705882353,121.5,-0.4809693109789701,13.0,1.7,-0.056818181818181816,-0.5,-0.11022859974351788,-0.008238928939237899,-0.14814814814814814,0.5627467217962678,-0.16067312717285614,6.017527368653431,148.93002045590154
