,Supplier name,Price,Availability,Number of products sold,Revenue generated,Stock levels,Lead times,Order quantities,Shipping times,Shipping costs,Production volumes,Manufacturing lead time,Manufacturing costs,Defect rates,Costs,Distance
0,Supplier 3,6.166957478812676,1.6176470588235294,100.25,0.9043874741721195,58.0,0.7,1.0909090909090908,2.0,0.367071792397288,0.22142121524201855,1.0740740740740742,1.5080764488339609,0.04942818095216373,1.3229404079218965,175.2729132221388
1,Supplier 3,6.166957478812676,1.6176470588235294,100.25,0.9043874741721195,58.0,0.7,1.0909090909090908,2.0,0.367071792397288,0.22142121524201855,1.0740740740740742,1.5080764488339609,0.04942818095216373,1.3229404079218965,175.2729132221388
2,Supplier 1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0
3,Supplier 5,5.4032733454452115,2.0,10.375,0.8109249801965625,23.0,1.3,0.6704545454545454,3.0,0.21473375339866188,0.964984552008239,0.6666666666666666,1.160868057101145,1.0362520781159426,1.7952061258549148,52.39836410424189
4,Supplier 1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0
5,Supplier 4,0.15017876117643572,2.5588235294117645,18.375,0.29530410132424184,90.0,2.7,0.75,1.5,0.5517549577036924,0.10710607621009269,0.6296296296296297,1.8497927452788074,0.6067323035718936,1.659109140683728,121.73343124499027
6,Supplier 3,6.166957478812676,1.6176470588235294,100.25,0.9043874741721195,58.0,0.7,1.0909090909090908,2.0,0.367071792397288,0.22142121524201855,1.0740740740740742,1.5080764488339609,0.04942818095216373,1.3229404079218965,175.2729132221388
7,Supplier 4,0.15017876117643572,2.5588235294117645,18.375,0.29530410132424184,90.0,2.7,0.75,1.5,0.5517549577036924,0.10710607621009269,0.6296296296296297,1.8497927452788074,0.6067323035718936,1.659109140683728,121.73343124499027
8,Supplier 4,0.15017876117643572,2.5588235294117645,18.375,0.29530410132424184,90.0,2.7,0.75,1.5,0.5517549577036924,0.10710607621009269,0.6296296296296297,1.8497927452788074,0.6067323035718936,1.659109140683728,121.73343124499027
9,Supplier 2,5.655258303945056,1.0294117647058822,122.5,0.5190306890210299,14.0,2.7,0.9431818181818182,0.5,0.8897714002564822,0.9917610710607621,0.8518518518518519,1.5627467217962678,0.8393268728271439,7.017527368653431,159.99986786229968
10,Supplier 5,5.4032733454452115,2.0,10.375,0.8109249801965625,23.0,1.3,0.6704545454545454,3.0,0.21473375339866188,0.964984552008239,0.6666666666666666,1.160868057101145,1.0362520781159426,1.7952061258549148,52.39836410424189
11,Supplier 2,5.655258303945056,1.0294117647058822,122.5,0.5190306890210299,14.0,2.7,0.9431818181818182,0.5,0.8897714002564822,0.9917610710607621,0.8518518518518519,1.5627467217962678,0.8393268728271439,7.017527368653431,159.99986786229968
12,Supplier 4,0.15017876117643572,2.5588235294117645,18.375,0.29530410132424184,90.0,2.7,0.75,1.5,0.5517549577036924,0.10710607621009269,0.6296296296296297,1.8497927452788074,0.6067323035718936,1.659109140683728,121.73343124499027
13,Supplier 5,5.4032733454452115,2.0,10.375,0.8109249801965625,23.0,1.3,0.6704545454545454,3.0,0.21473375339866188,0.964984552008239,0.6666666666666666,1.160868057101145,1.0362520781159426,1.7952061258549148,52.39836410424189
14,Supplier 1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0
15,Supplier 1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0
16,Supplier 1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0
17,Supplier 1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0
18,Supplier 2,5.655258303945056,1.0294117647058822,122.5,0.5190306890210299,14.0,2.7,0.9431818181818182,0.5,0.8897714002564822,0.9917610710607621,0.8518518518518519,1.5627467217962678,0.8393268728271439,7.017527368653431,159.99986786229968
19,Supplier 4,0.15017876117643572,2.5588235294117645,18.375,0.29530410132424184,90.0,2.7,0.75,1.5,0.5517549577036924,0.10710607621009269,0.6296296296296297,1.8497927452788074,0.6067323035718936,1.659109140683728,121.73343124499027
20,Supplier 1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0
21,Supplier 5,5.4032733454452115,2.0,10.375,0.8109249801965625,23.0,1.3,0.6704545454545454,3.0,0.21473375339866188,0.964984552008239,0.6666666666666666,1.160868057101145,1.0362520781159426,1.7952061258549148,52.39836410424189
22,Supplier 4,0.15017876117643572,2.5588235294117645,18.375,0.29530410132424184,90.0,2.7,0.75,1.5,0.5517549577036924,0.10710607621009269,0.6296296296296297,1.8497927452788074,0.6067323035718936,1.659109140683728,121.73343124499027
23,Supplier 5,5.4032733454452115,2.0,10.375,0.8109249801965625,23.0,1.3,0.6704545454545454,3.0,0.21473375339866188,0.964984552008239,0.6666666666666666,1.160868057101145,1.0362520781159426,1.7952061258549148,52.39836410424189
24,Supplier 2,5.655258303945056,1.0294117647058822,122.5,0.5190306890210299,14.0,2.7,0.9431818181818182,0.5,0.8897714002564822,0.9917610710607621,0.8518518518518519,1.5627467217962678,0.8393268728271439,7.017527368653431,159.99986786229968
25,Supplier 4,0.15017876117643572,2.5588235294117645,18.375,0.29530410132424184,90.0,2.7,0.75,1.5,0.5517549577036924,0.10710607621009269,0.6296296296296297,1.8497927452788074,0.6067323035718936,1.659109140683728,121.73343124499027
26,Supplier 2,5.655258303945056,1.0294117647058822,122.5,0.5190306890210299,14.0,2.7,0.9431818181818182,0.5,0.8897714002564822,0.9917610710607621,0.8518518518518519,1.5627467217962678,0.8393268728271439,7.017527368653431,159.99986786229968
27,Supplier 5,5.4032733454452115,2.0,10.375,0.8109249801965625,23.0,1.3,0.6704545454545454,3.0,0.21473375339866188,0.964984552008239,0.6666666666666666,1.160868057101145,1.0362520781159426,1.7952061258549148,52.39836410424189
28,Supplier 1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0
29,Supplier 1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0
30,Supplier 4,0.15017876117643572,2.5588235294117645,18.375,0.29530410132424184,90.0,2.7,0.75,1.5,0.5517549577036924,0.10710607621009269,0.6296296296296297,1.8497927452788074,0.6067323035718936,1.659109140683728,121.73343124499027
31,Supplier 3,6.166957478812676,1.6176470588235294,100.25,0.9043874741721195,58.0,0.7,1.0909090909090908,2.0,0.367071792397288,0.22142121524201855,1.0740740740740742,1.5080764488339609,0.04942818095216373,1.3229404079218965,175.2729132221388
32,Supplier 3,6.166957478812676,1.6176470588235294,100.25,0.9043874741721195,58.0,0.7,1.0909090909090908,2.0,0.367071792397288,0.22142121524201855,1.0740740740740742,1.5080764488339609,0.04942818095216373,1.3229404079218965,175.2729132221388
33,Supplier 5,5.4032733454452115,2.0,10.375,0.8109249801965625,23.0,1.3,0.6704545454545454,3.0,0.21473375339866188,0.964984552008239,0.6666666666666666,1.160868057101145,1.0362520781159426,1.7952061258549148,52.39836410424189
34,Supplier 1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0
35,Supplier 1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0
36,Supplier 2,5.655258303945056,1.0294117647058822,122.5,0.5190306890210299,14.0,2.7,0.9431818181818182,0.5,0.8897714002564822,0.9917610710607621,0.8518518518518519,1.5627467217962678,0.8393268728271439,7.017527368653431,159.99986786229968
37,Supplier 3,6.166957478812676,1.6176470588235294,100.25,0.9043874741721195,58.0,0.7,1.0909090909090908,2.0,0.367071792397288,0.22142121524201855,1.0740740740740742,1.5080764488339609,0.04942818095216373,1.3229404079218965,175.2729132221388
38,Supplier 5,5.4032733454452115,2.0,10.375,0.8109249801965625,23.0,1.3,0.6704545454545454,3.0,0.21473375339866188,0.964984552008239,0.6666666666666666,1.160868057101145,1.0362520781159426,1.7952061258549148,52.39836410424189
